Lineage,Parent,Label
B.1.1.353,B,Not a VOC
B.1.1.354,B,Not a VOC
B.1.1.355,B,Not a VOC
B.1.1.356,B,Not a VOC
B.1.1.358,B,Not a VOC
B.1.1.359,B,Not a VOC
B.1.1.360,B,Not a VOC
B.1.1.361,B,Not a VOC
B.1.1.362,B,Not a VOC
B.1.1.363,B,Not a VOC
B.1.1.364,B,Not a VOC
B.1.1.365,B,Not a VOC
B.1.1.367,B,Not a VOC
B.1.1.368,B,Not a VOC
B.1.1.369,B,Not a VOC
B.1.1.37,B,Not a VOC
B.1.1.371,B,Not a VOC
B.1.1.372,B,Not a VOC
B.1.1.373,B,Not a VOC
B.1.1.374,B,Not a VOC
B.1.1.375,B,Not a VOC
B.1.1.376,B,Not a VOC
B.1.1.378,B,Not a VOC
B.1.1.379,B,Not a VOC
B.1.1.38,B,Not a VOC
B.1.1.380,B,Not a VOC
B.1.1.381,B,Not a VOC
B.1.1.382,B,Not a VOC
B.1.1.383,B,Not a VOC
B.1.1.384,B,Not a VOC
B.1.1.385,B,Not a VOC
B.1.1.388,B,Not a VOC
B.1.1.389,B,Not a VOC
B.1.1.39,B,Not a VOC
B.1.1.392,B,Not a VOC
B.1.1.395,B,Not a VOC
B.1.1.396,B,Not a VOC
B.1.1.397,B,Not a VOC
B.1.1.398,B,Not a VOC
B.1.1.4,B,Not a VOC
B.1.1.40,B,Not a VOC
B.1.1.402,B,Not a VOC
B.1.1.403,B,Not a VOC
B.1.1.404,B,Not a VOC
B.1.1.406,B,Not a VOC
B.1.1.408,B,Not a VOC
B.1.1.41,B,Not a VOC
B.1.1.413,B,Not a VOC
B.1.1.416,B,Not a VOC
B.1.1.418,B,Not a VOC
B.1.1.420,B,Not a VOC
B.1.1.421,B,Not a VOC
B.1.1.423,B,Not a VOC
B.1.1.425,B,Not a VOC
B.1.1.426,B,Not a VOC
B.1.1.428,B,Not a VOC
B.1.1.429,B,Not a VOC
B.1.1.43,B,Not a VOC
B.1.1.432,B,Not a VOC
B.1.1.434,B,Not a VOC
B.1.1.437,B,Not a VOC
B.1.1.438,B,Not a VOC
B.1.1.44,B,Not a VOC
B.1.1.440,B,Not a VOC
B.1.1.441,B,Not a VOC
B.1.1.445,B,Not a VOC
B.1.1.447,B,Not a VOC
B.1.1.448,B,Not a VOC
B.1.1.45,B,Not a VOC
