Sample,Site,Date,Week,Year,Graph-Title
WWS-00340,Site-10,04/05/2022,04/04/2022,2022,"Site 10"
WWS-00341,Site-11,03/31/2022,03/28/2022,2022,"Site 11"
WWS-00342,Site-11,04/05/2022,04/04/2022,2022,"Site 11"
WWS-00343,Site-13,04/06/2022,04/04/2022,2022,"Site 13"
WWS-00344,Site-15,04/06/2022,04/04/2022,2022,"Site 15"
WWS-00345,Site-17,04/01/2022,03/28/2022,2022,"Site 17"
WWS-00346,Site-17,04/04/2022,04/04/2022,2022,"Site 17"
WWS-00347,Site-18,04/06/2022,04/04/2022,2022,"Site 18"
WWS-00348,Site-18,04/07/2022,04/04/2022,2022,"Site 18"
WWS-00349,Hastings,03/31/2022,03/28/2022,2022,"Hastings, NE"
WWS-00350,Hastings,04/04/2022,04/04/2022,2022,"Hastings, NE"
WWS-00351,Site-22,04/01/2022,03/28/2022,2022,"Site 22"
WWS-00352,Site-22,04/05/2022,04/04/2022,2022,"Site 22"
WWS-00353,Site-23,04/05/2022,04/04/2022,2022,"Site 23"
WWS-00354,Site-23,04/07/2022,04/04/2022,2022,"Site 23"
WWS-00355,Site-24,04/01/2022,03/28/2022,2022,"Site 24"
WWS-00356,Site-24,04/05/2022,04/04/2022,2022,"Site 24"
WWS-00359,Theresa-St,04/11/2022,04/11/2022,2022,"Theresa St. Lincoln, NE"
WWS-00360,Theresa-St,04/14/2022,04/11/2022,2022,"Theresa St. Lincoln, NE"
WWS-00361,Papillion-Creek,04/11/2022,04/11/2022,2022,"Papillion Creek Papillion, NE"
WWS-00362,Papillion-Creek,04/13/2022,04/11/2022,2022,"Papillion Creek Papillion, NE"
WWS-00363,Missouri-River,04/11/2022,04/11/2022,2022,"Missouri River Omaha, NE"
WWS-00364,Missouri-River,04/13/2022,04/11/2022,2022,"Missouri River Omaha, NE"
WWS-00365,Scottsbluff,04/07/2022,04/04/2022,2022,"Scottsbluff, NE"
WWS-00366,Scottsbluff,04/11/2022,04/11/2022,2022,"Scottsbluff, NE"
WWS-00367,Kearney,04/07/2022,04/04/2022,2022,"Kearney, NE"
WWS-00368,Kearney,04/11/2022,04/11/2022,2022,"Kearney, NE"
WWS-00369,Grand-Island,04/07/2022,04/04/2022,2022,"Grand Island, NE"
WWS-00370,Grand-Island,04/11/2022,04/11/2022,2022,"Grand Island, NE"
WWS-00371,Site-10,04/08/2022,04/04/2022,2022,"Site 10"
